Dax,^GDAXI,20735
TecDax,^TECDAX,6623216
MDAX,^MDAXI,323547
SDAX,^SDAXI,324724
Euro Stoxx 50,^STOXX50E,193736
Indien Index,^BSESN, 8313421
Adidas,ADS.DE,39471840
Adva,ADV.DE,142584
Aixtron,AIXA.DE,24627359
Amazon,AMZ.DE,252994
Apple,APC.DE,253932
Bechtle,BC8.DE,143041
Carl-Zeiss,AFX.DE,144059
CeWe Color,CWC.DE,144285
comdirect,COM.DE,144316
Deutsche Börse,DB1.DE,2036789
Deutsche Post,DPW.DE,144553
Deutsche Telekom,DTE.DE,2025437
Dialog Semiconductor,DLG.DE,1529744
Drillisch,DRI.DE,1538939
Fielmann,FIE.DE,2006693
Gerresheimer,GXI.DE,17950901
Gigaset,AQU.DE,1538764
Gildemeister,GIL.DE,151163
Google,GGQ1.DE,10391090
Hannover Rück,HNR1.DE,1962502
HHLA,HHFA.DE,19910295
IBM,IBM.DE,269519
Infineon,IFX.DE,154990
Jenoptik,JEN.DE,154983
Kabel Deutschland,KD8.DE,34391363
Medion,MDN.DE,158474
Metro,MEO.DE,164251
Microsoft,MSF.DE,273979
Münchner Rück,MUV2.DE,186563
Nokia,NOA3.DE,194281
Nordex,NDX1.DE,11579303
Oracle,ORC.DE,278218
Prosieben,PSM.DE,178412
Puma,PUM.DE,1540640
SAP,SAP.DE,163500
Singulus,SNG.DE,164206
SinnerSchrader,SZZ.DE,143004 
Software AG,SOW.DE,7570434
Solarworld,SWV.DE,142944
SÜSS MicroTec,SMHN.SG,51378532
Vestas,VWS.DE,4002050
Wincor Nixdorf,WIN.DE,9969881
Wirecard,WDI.DE,6452423
